title,city_location,block_sector,bedroom,bathroom,sqrtFeet,price
A 1200 Square Feet Large Apartment Is Available For Sale In Baitul Aman Housing Socie...,10,32,3,3,1200,15.663965528349177
This 1280 Sq.Ft Flat In East Monipur With A Convenient Price Is Up For Sale,4,24,3,2,1280,15.424948670398354
An Apartment Is Up For Sale In Kallyanpur.,4,33,3,3,1430,15.964944588014255
See This Apartment Which Is Up For Sale In West Shewrapara Near Shewrapara Central Ja...,4,34,3,3,850,15.76142084987672
Buy This 1300 Sq Ft Apartment In The Serene Placement Of Mirpur-1,4,9,3,3,1300,15.943742382861155
An Apartment Which Is Up For Sale At Mirpur Near To Mirpur Adhunik Hospital And Diagn...,4,15,3,3,1400,15.607270193858982
An Apartment Of 1250 Sq.Ft Is Up For Sale In Mirpur Section 11.,4,22,3,3,1250,15.424948670398354
1450 Sq Ft Remarkable Flat Is Up For Sale In Ashkona Nearby Hajj Camp Masjid.,0,3,3,2,1450,16.05887639739914
"1400 Sq Ft Apartment Is Ready For Sale At Mirpur, Near Mirpur Adhunik Hospital",4,15,3,3,1400,15.912300860828838
We Bring You A Nice Residence Of 1200 Sq Ft For Sale In Mirpur -12,4,15,3,3,1200,15.702580358511794
Vacant Now! This 1100 Sq Ft Flat For Sale With Lovely Facilities At Mirpur DOHS,4,5,2,2,1100,16.012735246411598
An Apartment Which Is Up For Sale At Rupnagar R/A Near To Rupnagar Jame Masjid.,4,35,2,2,650,14.690979711984754
A Convenient 650 Sq Ft Residential Apartment Is Prepared To Be Sold At Mirpur-11,4,22,2,2,650,15.009433329466965
Residential Apartment For Sale At Ahmed Nagar Nearby Daud Khan Mosjid,4,27,3,2,1100,15.250595321348806
"925 Sq Ft Apartment For Sale In Section 11, Mirpur",4,22,3,2,925,15.53827733427679
A Fine 1654 Sq Ft Flat Is Now For Sale Which Is In Uttara Sector 18.,3,36,3,4,1654,15.955576839107596
"Reside Conveniently In This Well Constructed Flat For Sale In Bashundhara, Near Viqua...",2,11,3,4,1796,16.454567959008102
